Title,URL
Expenses and employee benefits - GOV.UK,https://www.gov.uk/browse/business/expenses-employee-benefits
Benefits and financial support if you're disabled or have a health condition - GOV.UK,https://www.gov.uk/browse/benefits/disability
"
      Going into a care home if you get benefits - GOV.UK
  ",https://www.gov.uk/going-to-care-home-benefits
"
      Expenses and benefits: relocation costs: Overview - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-relocation
"
      Expenses and benefits: relocation costs: Technical guidance - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-relocation/technical-guidance
"
      Expenses and benefits: relocation costs: Work out the value - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-relocation/work-out-the-value
"
      Expenses and benefits: relocation costs: What to report and pay - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-relocation/what-to-report-and-pay
"
      Expenses and benefits: relocation costs: What you do not have to report - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-relocation/whats-exempt
"
      Rating Manual section 4: valuation methods - Part 3: practice note 1 - 2017L revaluation - the contractor's basis - age and obsolescence allowances - Guidance - GOV.UK
  ",https://www.gov.uk/guidance/rating-manual-section-4-valuation-methods/part-3-practice-note-1-2017l-revaluation-the-contractor-s-basis-age-and-obsolescence-allowances
"
      Expenses and benefits: entertainment: Overview - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-entertainment
"
      Expenses and benefits: entertainment: What to report and pay - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-entertainment/what-to-report-and-pay
"
      Expenses and benefits: office and workshop equipment and supplies - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-office-equipment
UK benefits if you’re going or living abroad - GOV.UK,https://www.gov.uk/uk-benefits-abroad
"
      Tax on company benefits: Overview - GOV.UK
  ",https://www.gov.uk/tax-company-benefits
"
      Tax on company benefits: Keeping records and reporting changes - GOV.UK
  ",https://www.gov.uk/tax-company-benefits/keeping-records-and-reporting-changes
"
      Tax on company benefits: National Insurance on company benefits - GOV.UK
  ",https://www.gov.uk/tax-company-benefits/national-insurance-on-company-benefits
"
      Tax on company benefits: Tax-free company benefits - GOV.UK
  ",https://www.gov.uk/tax-company-benefits/taxfree-company-benefits
"
      Tax on company benefits: Other company benefits you'll pay tax on - GOV.UK
  ",https://www.gov.uk/tax-company-benefits/other-company-benefits-youll-pay-tax-on
"
      Tax on company benefits: Tax on company cars - GOV.UK
  ",https://www.gov.uk/tax-company-benefits/tax-on-company-cars
"
      Expenses and benefits: parking spaces: Overview - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-parking-spaces
"
      Expenses and benefits: parking spaces: Technical guidance - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-parking-spaces/technical-guidance
"
      Expenses and benefits: parking spaces: What to report and pay - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-parking-spaces/what-to-report-and-pay
"
      Expenses and benefits: parking spaces: What's exempt - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-parking-spaces/whats-exempt
"
      Get help with savings if you’re on a low income (Help to Save): How it will affect your benefits - GOV.UK
  ",https://www.gov.uk/get-help-savings-low-income/how-it-will-affect-your-benefits
Apply for Tax-Free Childcare - GOV.UK,https://www.gov.uk/apply-for-tax-free-childcare
Apply for free childcare if you're working - GOV.UK,https://www.gov.uk/apply-free-childcare-if-youre-working
"
      Expenses and benefits: medical or dental treatment and insurance: Overview - GOV.UK
  ",https://www.gov.uk/expenses-and-benefits-medical-treatment
